date,odakyu_open,odakyu_high,odakyu_low,odakyu_close,odakyu_volume,odakyu_close2,keio_open,keio_high,keio_low,keio_close,keio_volume,keio_close2,tokyu_open,tokyu_high,tokyu_low,tokyu_close,tokyu_volume,tokyu_close2,sotetsu_open,sotetsu_high,sotetsu_low,sotetsu_close,sotetsu_volume,sotetsu_close2,kanachu_open,kanachu_high,kanachu_low,kanachu_close,kanachu_volume,kanachu_close2,forval_open,forval_high,forval_low,forval_close,forval_volume,forval_close2,tempo_open,tempo_high,tempo_low,tempo_close,tempo_volume,tempo_close2
2019/7/3,2671,2682,2656,2666,580900,2666,7210,7270,7200,7230,229800,7230,1958,1976,1954,1965,923700,1965,3010,3030,3005,3025,78800,3025,3750,3795,3750,3795,1700,3795,930,949,930,941,11500,941,(1-37),(1-38),2615,2634,1276200,2634
2019/7/2,2674,2689,2672,2687,465400,2687,7170,7240,7170,7210,207400,7210,1964,1982,1957,1966,1211500,1966,3020,3035,3010,3030,65300,3030,3760,3775,3750,3755,3800,3755,919,941,911,926,9600,926,2600,(2-38),2600,2607,1329100,2607
2019/7/1,2665,2677,2656,2674,554500,2674,7190,7200,7130,7180,223600,7180,1936,1956,1932,1955,1372000,1955,3025,3030,2990,3020,105000,3020,3745,3765,3710,3765,4500,3765,938,938,909,913,14600,913,2565,(3-38),(3-39),(3-40),1421000,(3-42)
2019/6/28,2639,2658,2619,2637,814000,2637,7070,7140,7040,7090,345000,7090,1940,1944,1900,1911,1508000,1911,2983,2995,2965,2969,144000,2969,3740,3745,3705,3715,4200,3715,900,902,890,893,8400,893,(4-37),2543,(4-39),(4-40),1515600,(4-42)
2019/6/27,2664,2670,2642,2653,496700,2653,7280,7280,7060,7120,351200,7120,1940,1946,1924,1946,1242800,1946,2972,2984,2962,2984,92400,2984,3695,3740,3695,3700,2600,3700,883,901,882,892,7600,892,(5-37),2516,(5-39),2516,1865100,2516
2019/6/26,2668,2691,2645,2675,479100,2675,7300,7310,7210,7280,243000,7280,1933,1946,1921,1924,1141700,1924,2980,2992,2958,2970,103200,2970,3755,3755,3695,3715,3500,3715,904,904,878,878,11600,878,(6-37),2536,2507,(6-40),1331900,(6-42)
2019/6/25,2659,2692,2658,2684,558600,2684,7250,7400,7250,7360,234400,7360,1926,1955,1922,1943,1155300,1943,2970,3025,2968,2992,143900,2992,3680,3780,3680,3765,6000,3765,908,920,891,901,12400,901,(7-37),2597,(7-39),2553,1639800,2553
2019/6/24,2674,2676,2623,2648,537400,2648,7280,7300,7190,7280,175700,7280,1925,1930,1910,1922,978600,1922,2977,2986,2958,2978,94000,2978,3800,3800,3705,3720,3600,3720,907,907,880,893,6000,893,2627,(8-38),2583,2598,1544800,2598
2019/6/21,2708,2715,2680,2683,807400,2683,7350,7390,7280,7290,394800,7290,1945,1949,1929,1929,1652100,1929,3010,3015,2977,2977,220200,2977,3810,3810,3770,3780,2300,3780,926,929,905,905,8000,905,2621,2641,2605,(9-40),2552800,(9-42)
2019/6/20,2717,2734,2696,2699,512400,2699,7350,7460,7320,7350,222800,7350,1933,1950,1927,1932,1005900,1932,3030,3040,3015,3015,73800,3015,3815,3825,3800,3810,1700,3810,929,943,923,926,12400,926,2635,2663,2620,2623,1553600,2623
2019/6/19,2700,2710,2689,2705,527500,2705,7360,7390,7250,7320,294400,7320,1941,1952,1928,1930,978200,1930,2989,3025,2981,3015,104200,3015,3815,3825,3815,3820,1900,3820,950,950,925,929,15700,929,2596,(11-38),2592,(11-40),1514400,(11-42)
2019/6/18,2689,2696,2672,2678,465100,2678,7310,7340,7220,7330,386100,7330,1946,1953,1925,1930,806400,1930,3015,3025,2969,2972,107000,2972,3810,3815,3795,3795,3200,3795,948,948,925,925,8300,925,2617,2617,(12-39),(12-40),1684700,(12-42)
2019/6/17,2687,2724,2680,2688,502500,2688,7280,7410,7260,7330,282500,7330,1948,1973,1942,1952,1117100,1952,3025,3050,3010,3015,83400,3015,3815,3830,3805,3825,3000,3825,964,964,947,948,8300,948,2669,(13-38),(13-39),(13-40),1211200,(13-42)
2019/6/14,2698,2699,2668,2689,658200,2689,7340,7340,7200,7260,325000,7260,1940,1948,1915,1947,1424300,1947,3035,3035,3010,3030,113100,3030,3850,3850,3805,3805,6100,3805,967,976,959,968,13400,968,2705,2705,(14-39),(14-40),1345100,(14-42)
2019/6/13,2703,2704,2676,2693,494100,2693,7220,7310,7210,7290,343300,7290,1950,1950,1919,1937,1159400,1937,3055,3065,3015,3030,127300,3030,3850,3865,3840,3855,2600,3855,965,982,952,958,10000,958,(15-37),(15-38),2701,2707,1217000,2707
2019/6/12,2707,2726,2705,2708,437000,2708,7220,7260,7180,7180,177500,7180,1962,1969,1956,1958,839400,1958,3070,3085,3055,3060,84500,3060,3875,3875,3810,3830,6000,3830,995,995,967,967,12200,967,(16-37),(16-38),2702,2722,1428400,2722
2019/6/11,2739,2739,2706,2713,364800,2713,7280,7290,7150,7180,215900,7180,1979,1980,1953,1961,880500,1961,3090,3095,3070,3080,87600,3080,3880,3885,3855,3885,3000,3885,974,999,962,995,30100,995,2722,(17-38),2713,(17-40),1213300,(17-42)
2019/6/10,2727,2747,2720,2739,649200,2739,7200,7270,7190,7250,346000,7250,1966,1968,1951,1960,1034100,1960,3075,3110,3070,3100,105900,3100,3890,3900,3880,3900,2900,3900,972,980,955,975,23900,975,2683,2732,2676,2726,1189600,2726
2019/6/7,2711,2718,2682,2709,475400,2709,7130,7140,7050,7140,261300,7140,1968,1969,1948,1956,1113900,1956,3050,3070,3025,3065,99900,3065,3880,3890,3865,3890,1700,3890,946,952,934,950,8000,950,(19-37),(19-38),2643,2676,1462500,2676
2019/6/6,2696,2719,2687,2709,463300,2709,7100,7170,7060,7130,248100,7130,1970,1988,1968,1980,744400,1980,3020,3065,3005,3050,122700,3050,3880,3900,3880,3890,3000,3890,953,973,939,939,19700,939,2648,(20-38),2621,2676,1840100,2676
2019/6/5,2674,2691,2653,2691,674200,2691,7040,7090,6950,7070,531200,7070,1976,1978,1947,1978,1099900,1978,3005,3015,2985,3005,149000,3005,3870,3880,3850,3880,2500,3880,962,980,940,946,20200,946,(21-37),2717,(21-39),2683,1856300,2683
2019/6/4,2705,2713,2631,2642,751700,2642,7270,7290,6950,7040,502700,7040,1978,1978,1931,1948,1511400,1948,3000,3005,2936,2969,236600,2969,3860,3865,3840,3865,2200,3865,954,954,930,938,11400,938,2750,(22-38),2703,2716,1481500,2716
2019/6/3,2644,2710,2635,2710,781100,2710,7100,7300,7060,7290,338600,7290,1935,1984,1928,1968,2466200,1968,2990,3010,2976,3010,136000,3010,3805,3880,3805,3860,3300,3860,939,1010,939,950,59600,950,(23-37),2741,2672,2741,1687400,2741
2019/5/31,2643,2695,2642,2680,760900,2680,7230,7350,7200,7240,470000,7240,1911,1940,1905,1926,1691500,1926,2998,3035,2997,3020,120300,3020,3885,3885,3850,3855,3100,3855,967,967,934,940,25700,940,2671,2707,2670,(24-40),1392800,(24-42)
2019/5/30,2640,2658,2631,2653,496200,2653,7220,7290,7130,7260,368500,7260,1926,1932,1908,1921,1158600,1921,3040,3050,3015,3040,89000,3040,3865,3895,3860,3895,2800,3895,926,956,926,952,17600,952,2677,2691,(25-39),(25-40),1458300,(25-42)
2019/5/29,2656,2692,2653,2675,785200,2675,7420,7460,7260,7270,526500,7270,1948,1959,1936,1942,1248600,1942,3035,3085,3035,3060,58300,3060,3830,3890,3830,3860,2800,3860,917,965,904,927,39800,927,2703,(26-38),(26-39),(26-40),1380300,(26-42)
2019/5/28,2724,2724,2663,2683,1765000,2683,7670,7700,7470,7530,1016200,7530,2000,2007,1973,1974,1386700,1974,3130,3130,3070,3080,135300,3080,3885,3890,3860,3860,1900,3860,950,972,922,924,16700,924,2774,(27-38),2726,2726,1857300,2726
2019/5/27,2715,2727,2707,2723,359600,2723,7770,7770,7680,7720,219400,7720,2005,2006,1988,1999,890700,1999,3135,3135,3110,3125,60200,3125,3855,3890,3855,3885,2700,3885,921,949,915,946,8100,946,2769,2799,(28-39),(28-40),1081700,(28-42)
2019/5/24,2709,2724,2698,2720,531400,2720,7770,7820,7730,7790,268900,7790,2001,2012,1990,2005,1036900,2005,3115,3145,3110,3140,91800,3140,3875,3885,3865,3875,4400,3875,908,923,906,916,7400,916,2746,2772,(29-39),2757,1482500,2757
2019/5/23,2650,2724,2650,2709,661000,2709,7600,7780,7580,7780,308600,7780,1972,2018,1966,2009,1536800,2009,3055,3135,3055,3135,84200,3135,3855,3880,3835,3875,2500,3875,935,938,903,908,9600,908,(30-37),2752,2695,2748,1727600,2748
2019/5/22,2714,2716,2641,2660,863900,2660,7730,7730,7560,7600,437500,7600,2008,2008,1964,1972,1375100,1972,3140,3145,3070,3075,120500,3075,3860,3865,3850,3850,1900,3850,965,970,930,930,14100,930,(31-37),(31-38),(31-39),(31-40),1698900,(31-42)
2019/5/21,2700,2730,2697,2702,700700,2702,7760,7850,7640,7660,410700,7660,1997,2010,1992,2003,1543600,2003,3145,3175,3125,3140,102200,3140,3870,3875,3840,3860,4100,3860,946,960,938,955,9700,955,2762,2790,2735,(32-40),1888600,(32-42)
